endTime,artistName,trackName,msPlayed,uri
2021-05-21 00:05,Dua Lipa,Last Dance,228976,1oXHXIB8rHgwHSsPRNjEzn
2021-05-21 00:52,Demi Lovato,Sorry Not Sorry,200827,0yvPEnB032fojLfVluFjUv
2021-05-21 00:55,Dua Lipa,Last Dance,228976,1oXHXIB8rHgwHSsPRNjEzn
2021-05-21 00:59,Years & Years,Here,8282,1wFVY3D4OegS3rsaQw0evV
2021-05-21 00:59,Harry Styles,Falling,7693,1ZMiCix7XSAbfAJlEZWMCp
2021-05-21 00:59,Demi Lovato,Sorry Not Sorry,203760,0yvPEnB032fojLfVluFjUv
2021-05-21 01:02,Sam Smith,The Thrill Of It All,4858,3fCjfPg7ZkU7Oulze3e2ww
2021-05-21 01:02,Ariana Grande,sweetener,14512,70khXICDeTTxgYtw3EysKH
2021-05-21 01:02,HONNE,No Place Like Home (feat. JONES),147247,3VgNYKxGoL5FeGh7jBQjU0
2021-05-21 01:03,Sam Smith,Midnight Train,15143,6hPFEpT7bVguj9aCFLOmiz
2021-05-21 01:03,HONNE,Forget Me Not ◐,70822,5bi6WIAbhOCPcpxhHVM7UL
2021-05-21 01:05,RAYE,Sober - Stripped,72357,7iHAue5izVmII1Z6Q1xy7B
2021-05-21 01:05,ZAYN,Scripted,12788,4lBTwYz5ZhcF6G7u2pPLtG
2021-05-21 01:05,ZAYN,Flight Of The Stars,4678,5PBsmRHLRDBjcRyvb78icW
2021-05-21 01:06,Justin Bieber,Come Around Me,53250,2o9LAypwGH4ctV0i9boo6d
2021-05-21 01:06,Taylor Swift,exile (feat. Bon Iver),8117,4pvb0WLRcMtbPGmtejJJ6y
2021-05-21 01:06,FINNEAS,Shelter,28409,0QFbrbUPRqNSq2GKGFYgm7
2021-05-21 01:07,Miley Cyrus,Slide Away,9977,44ADyYoY5liaRa3EOAl4uf
2021-05-21 01:07,Ariana Grande,the light is coming (feat. Nicki Minaj),5257,0sdbFOyfgAhAhWq8DpzkaW
2021-05-21 01:10,MC Blitzy,She's Bingo,16302,56grp3GSqVJtEvdIcKZ9Th
2021-05-21 01:10,Harry Styles,Adore You,196775,3jjujdWJ72nww5eGnfs2E7
2021-05-21 01:13,Anne-Marie,To Be Young (feat. Doja Cat) - Felix Cartal Remix,5011,55438ajkXveF4Svp5zza0o
2021-05-21 01:13,Ariana Grande,needy,171573,1TEL6MlSSVLSdhOSddidlJ
2021-05-21 01:13,ZAYN,lUcOzAdE,11373,26PFSyfXPYz6NcWbtM5Cst
2021-05-21 01:14,Phil Good,Living With No One,8276,7imMaU3xinJn9QQITBDMwQ
2021-05-21 01:17,Justin Bieber,Die For You (feat. Dominic Fike),198425,2gBPZEtW6sxFHHa7TL4jd0
2021-05-21 01:21,Justin Bieber,Peaches (feat. Daniel Caesar & Giveon),198081,3wKpoOfaQaxdnalXMqSPpO
2021-05-21 01:25,SAYGRACE,Feel Good,233209,1aePioxX9EX1U6cYztAsbV
2021-05-21 01:26,Lily Allen,Lost My Mind,63949,6OMvX7ieloQ1qdSwKb5BRD
2021-05-21 10:48,Kristjan Järvi,Põhjaneitsi (Nordic Maiden),1519,7g846G2q6nxbFYgWgZ586s
2021-05-21 10:48,Ariana Grande,My Everything,22306,4eumFsTnduH3zRfaASoAPs
